OpenHarmony-SIG/flutter_flutter,flutter_flutter
Hehonglinhst/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
李4454/chongwuzhushou-flutter,chongwuzhushouflutter
Gitee 极速下载/rivet-ai-agent,Rivet 是由 Ironclad 公司开发的开源可视化AI编程环境，可让用户使用大语言模型构建AI代理 (AIAgent)
FLUTTER组件/flutter_camera,flutter_camera
gongcen/demo-by-ai,create everything byai
liang10607/Flutter_Me,my firstflutterapp
Hugging Face 数据集镜像/MarketMail-AI,of https://huggingface.co/datasets/FourthBrainGenAI/MarketMail-AI
Hugging Face 数据集镜像/ai-arxiv,Mirror of https://huggingface.co/datasets/jamescalam/ai-arxiv
幽鸟/AI_Space_Ship,AI飞机大战，AI玩飞机大战
EMIIA.AI/www.emiia.ai,#cognitive_radio_optics #radio_optics #aiрадиооптика #ai_radio_optics #ai_сенсор #ai_антенна #ai_sensor #ai_antenna #активная_фазированная_антенная_решетка
KoenChen/AI-Chat,AIChat Demo
ouyangpeng/snake-ai,a snakeAIwritten in python
Admin/jupyter-ai,A generativeAIextension for JupyterLab
yifi/AI-Notes,MyAIlearning notes.
yanzmgit/ai,My self study forAItech。
Wei Echo/flutter_pulltorefresh,flutter_pulltorefresh
hopekg/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
许银杉/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
flutter-plugin/flutter_boost,flutter_boost
SoftRainSR/flutter,这是一个自我学习的flutter项目仓库
deng-dev/flutter,"官方Flutter镜像, 每天上午会跟官方github同步一次"
雨三楼/flutter_boost,FlutterBoost is aFlutterplugin which enables hybrid integration ofFlutterfor your existing native apps with minimum efforts
姜周/AI_study,这个仓库是学习AI所需要的，放一些论文，资料，还有好用的代码
君莫笑/flutter_moban,flutter的一个demo
Fantasy-Hao/ai_learning,"The repository for learningAI, belong to YuxinHao."
shouli_Wang/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
SongZheng/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
Lionel_Whiteness/AI_Detect,CUC——School of Data Science and Intelligent Media——AI_detect
jiguang-official/ADJgSdk_Flutter,广告聚合sspflutter版本
huaweiggg/java_ai,hello javaai
VAINHALO/sentiment.ai,Open SourceAI-Based Sentiment Analysis
黄嘉欣/API_AI,记录api_ai学习课程的笔记
youngoldman/Game-AI,GameAIfor Machine Learning for Hackers #3
张殃离/Ai-recognize,AI-recognization-test
monash_li/Jarvis_AI_dev,It is a open sourceAIassistant project.
阿伦/AIExplore,和散落在全国的小伙伴一起，探索AI训练底座的软件系统
MindSpore Lab/mindrec,MindRec是昇思MindSpore在推荐领域的高性能加速库，提供了推荐领域AI模型的高效训推一体解决方案及流程指导
GGB/flutter_cloubhouse,Flutter实战之（Clubhouse App）
Termianl Store/Terminal-Store-Flutter,This isflutterversion
crism/crism-flutter,AFlutterProject. By Crism
Lancerer/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
zhoufeng/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
Mr_H/mh_flutter_ezviz,修改flutter_ezviz[https://github.com/jaysonjh/flutter_ezviz.git] 修复bug适配nullsafe
caoqing32/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
